audio,visual,voice,delay,audio_time,audio_type,audio_valence,audio_arousal,written_type,written_valence,written_arousal,
Buttfuck,Penis,m,1400,847,Swear,Negative,High,Swear,Positive,High,
Damn,Murderer,f,1400,484,Swear,Negative,Low,Neutral,Negative,High,
Hell,Jism,f,400,506,Swear,Negative,Low,Swear,Positive,Low,
Slut,Intercourse,m,400,500,Swear,Negative,High,Neutral,Positive,High,
Massacre,Failure,f,400,604,Neutral,Negative,High,Neutral,Negative,Low,
Friendly,Loved,f,400,700,Neutral,Positive,Low,Neutral,Positive,High,
Boobs,Slut,f,1000,561,Swear,Positive,High,Swear,Negative,High,
Snatch,Grateful,m,600,538,Swear,Positive,Low,Neutral,Positive,Low,
Control,Balls,na,600,600,N/A,N/A,N/A,Swear,Positive,Low,
Boner,Jism,f,1000,429,Swear,Positive,High,Swear,Positive,Low,
Lonely,Control,m,1400,489,Neutral,Negative,Low,N/A,N/A,N/A,
Lonely,Control,f,1000,500,Neutral,Negative,Low,N/A,N/A,N/A,
Sad,Screw,m,800,485,Neutral,Negative,Low,Swear,Positive,Low,
Hopeful,Torture,f,1400,524,Neutral,Positive,Low,Neutral,Negative,High,
Screw,Intercourse,f,800,534,Swear,Positive,Low,Neutral,Positive,High,
